accident_id	accident_time	deaths	injured	county	municipality	settlement	involving_motorvehicle_driver	accident_type	accident_type_detailed	accident_scenario	road_type	road_type_detail	road_width	speed_limit	road_condition	road_surface_condition	weather	lighting	join_distance	x_coord	y_coord				
3100220523653	2022-08-31 03:40:00	0	1	Saare maakond	Saaremaa vald	Kuressaare linn	TRUE	Ühesõidukiõnnetus	Kokkupõrge teevälise takistusega	Sõiduk kaotab teelõigul või ristmikul juhitavuse ning kaldub kavandatud kursist paremale teelt välja või vastassuuna vööndisse.	Riigitee	Tugimaantee	9	90	Sõidutee on korras	Kuiv		Pimeda aeg	0.6143304123	6456972.14	412180.44				
3100180600285	2018-10-18 08:45:00	0	1	Harju maakond	Tallinn	Kristiine linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Vasakpööret sooritava ja ristmikult lahkuva sõiduki konflikt jalakäijaga.	KOV tee/tänav	Tänav	15	50	Sõidutee on korras	Kuiv	Selged olud	Valge aeg	0.3850610059	6587931	540891				
3100190732932	2019-12-18 16:20:00	0	1	Harju maakond	Tallinn	Mustamäe linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Ristmikule siseneva sõiduki konflikt vasakult poolt tuleva jalakäijaga.	KOV tee/tänav	Tänav	3	50	Sõidutee on ebatasane	Märg	Pilvised olud	Pimeda aeg	3.068668006	6584548	538184				
2101240205415	2024-11-13 13:38:00	0	1	Harju maakond	Tallinn	Lasnamäe linnaosa	TRUE	Kokkupõrge	Kokkupõrge sõidukiga küljelt	Ristmiku peateel otse sõitva sõiduki konflikt vasakult poolt kõrvalteelt tuleva sõidukiga.	KOV tee/tänav	Tänav	7	30	Sõidutee on korras	Kuiv	Pilvised olud	Valge aeg	0.2093190253	6587064	545354				
2101240035532	2024-03-06 09:48:00	0	1	Harju maakond	Tallinn	Lasnamäe linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Muu konflikt sõiduki ja jalakäija vahel (nt. kui sõiduk sõidab jalakäijatele määratud alal).	KOV tee/tänav	Tänav	20	50	Sõidutee on korras	Kuiv	Selged olud	Valge aeg	0.06144894897	6588056	544970				
3100200363473	2020-06-30 17:15:00	0	1	Tartu maakond	Tartu linn	Tartu linn	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Sõiduki konflikt teelõiku paremalt poolt ületava jalakäijaga.	KOV tee/tänav	Tänav	3	50	Sõidutee on korras	Kuiv	Selged olud	Valge aeg	9.218500628	6474041	656636				
3100210446759	2021-07-24 15:51:00	0	2	Harju maakond	Tallinn	Lasnamäe linnaosa	TRUE	Ühesõidukiõnnetus	Sõiduki ümberpaiskumine teel	Sõiduk kaotab teelõigul või ristmikul juhitavuse ning paiskub ümber.	KOV tee/tänav	Tänav	13	50	Sõidutee on korras	Kuiv	Selged olud	Valge aeg	14.11801729	6590812	547268				
3100200682076	2020-11-25 08:11:00	0	1	Harju maakond	Tallinn	Kristiine linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Otse sõitva ja ristmikult lahkuva sõiduki konflikt vasakult poolt tuleva jalakäijaga.	KOV tee/tänav	Tänav	6	50	Sõidutee on korras	Märg	Pilvised olud	Valge aeg	0.7123650315	6587441	540631				
2302180004700	2018-05-23 17:21:00	0	1	Harju maakond	Tallinn	Lasnamäe linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Muu konflikt sõiduki ja jalakäija vahel (nt. kui sõiduk sõidab jalakäijatele määratud alal).	KOV tee/tänav	Tänav	7	50	Sõidutee on korras	Kuiv	Selged olud	Valge aeg	7.677478162	6588213	547541				
2101240151976	2024-08-21 16:26:00	0	1	Harju maakond	Tallinn	Nõmme linnaosa	TRUE	Kokkupõrge	Kokkupõrge sõidukiga küljelt		KOV tee/tänav	Tänav	9	50	Sõidutee on korras	Kuiv	Selged olud	Valge aeg	0.1866856281	6583401	538634				
